ParentLocation,Location,other_1,other_2,SDG1.a,SDG16.1,SDG3.1_1,SDG3.2_1,SDG3.2_2,SDG3.2_3,SDG3.3_1,SDG3.3_2,SDG3.3_3,SDG3.3_4,SDG3.3_5,SDG3.4_1,SDG3.4_2,SDG3.4_3,SDG3.4_4,SDG3.4_5,SDG3.4_6,SDG3.5,SDG3.6,SDG3.8_1,SDG3.8_2,SDG3.9_1,SDG3.9_3,SDG3.b_1,SDG3.b_2,SDG3.b_3,SDG3.b_4,SDG3.c_1,SDG3.c_2,SDG3.c_3,SDG3.c_4,SDG3.d_1,SDG3.7,SDG3.a,SDG3.1_2,SDG3.b_5
Europe,France,81.91,25.01,14.76,0.9,8,2.81516045796573,4.870134886667388,4.080592079850435,0.1,8.7,-118.58619872406527,0.01,346,70.98,19.361567342902614,232.32953755349885,51.942955145934086,14.89,5081.03,12.6,5.54,45.71,78,0.38,0.27,1.3496680916716266,80,96,92,64.75,108.9,6.65,10.83,89,5,34.6,97.4,21
Africa,Gabon,64.93,16.91,9.2,8.78,256,71.31313131313132,149.4949494949495,111.06060606060606,1.15,533,253.3,4.16,694499,220.7,38.6969696969697,135.25252525252526,16.8989898989899,9.2,63.84,9.5,23.09,25.71,49,1.4,20.58,2.25,63.86413638700788,75,75.79568545858223,3.56,25.44,0.045,0.23,52,84.77901805623699,19.007878198793836,72.74271438403808,58.33557754281763
Africa,Gambia,64.14,16.67,6.23,8.64,611,121.43207454634626,232.41785188818048,158.55811672388424,1.1,170,131.8,1.17,177144,262.2,16.969102501226093,101.27513487003432,17.155468366846495,4.9,49.81,3.4,28.15,34.29,44,2.09,29.66,12.72,79,95,95,3.0887039229742967,8.517744650112597,0.5956233477394877,1.2686420193742576,62.41150167667784,67.5,15,69.55907420169558,67.10041360825326
Europe,Georgia,72.58,18.43,10.33,2.35,26,8.713375796178344,14.700636942675159,13.044585987261145,1.250394772304916,92,0,0.26,412310,159.9,54.70063694267516,918.9044585987261,38.675159235668794,10.7,527.85,8.9,14.92,50,66,0.69,0.18,2.23,85,92,75,59.97,40,6.39,1.08,82,43.6,30.1,99.9,41.53729503389113
Europe,Germany,80.42,23.21,19.59,1,5,2.126594640786181,3.5219434779954835,2.9872428737105534,0.07769536378296155,7.3,-119.16315780816885,0.24,1129,68.69,29.49642922541659,419.37252029542816,70.56949276689251,13.02,8433.44,13,4.05,47.14,83,0.18,0.59,1.4196268913472565,93,93,84,41.94,128.6,8.58,6.38,90.14152333522831,9.2,28.6,97.8,37
Africa,Ghana,64.55,16.8,6.54,6.21,314,76.78944942744708,157.0496685219981,113.25912007657674,0.8,156,237.5,3.61,15536910,241.3,25.217144680398484,119.5022512142376,20.016308008650334,7.2,832.05,3,24.64,55.71,47,1.92,18.84,4.94,75,93,93,1.27,21.16,0.14,0.2,74,75.1,3.9,71.83259703003132,69.51664693081398
Europe,Greece,80.38,23.46,8.74,0.85,3,2.03862660944206,3.469241773962804,3.0221745350500715,0.13748997697014909,4.4,-113.34164766170034,0.37,79,66.42,16.496781115879827,405.09656652360513,89.69957081545064,4.67,1029.77,10.8,9.67,28.57,75,0.15,0.037,1.568152505725854,83,99,96,62.15,35.53,12.46,10.65,89.47879294995084,9.2,40.2,99.9,47.62231566277036
Americas,Grenada,72.7,18.86,7.38,6.39,25,18.69158878504673,28.971962616822427,25.233644859813083,0.710421495433133,6.3,-31.51411168720053,0.47,151,140.2,100.18691588785046,309.6261682242991,24.887850467289717,0.97,8.459,8.5,9.07,21.43,72,0.27,0.34,3.3189246305570292,85,96,83.38692079487896,25.996798888222305,51.43721455687002,4.671073767027556,6.8,66,33.405412338285736,25.54534966386068,99.3,50.100741371000815
Americas,Guatemala,70.95,19.85,18.21,26.42,98,34.16355083825835,68.24870341333977,57.45386563743819,0.09,24,0.45,0.05,3265661,161.7,53.14799179833554,94.68701001085515,14.708720299119525,5.71,558.01,1.7,16.63,38.57,55,1.69,6.3,1.28,65,80,81,16.299848403418604,10.05,3.040567206699242,4.1212836224179155,55,78.9,18.72510973130276,69.8,64.17761298284786
Africa,Guinea,58.81,15.89,4.11,9.38,621,111.22136172959019,362.06034204582124,234.35785737334623,0.57,176,339.9,7.47,7246135,262.1,20.53888351080994,112.65730880929333,21.724749919328815,7.09,351.83,1.2,29.73,34.29,37,2.79,44.63,8.26,50.10540390884684,47,73.32961776377468,0.83,1.24,0.043,0.091,52.70707984645679,120,11.122212079381448,62.7,73.41940933371137
Africa,Guinea-Bissau,58.23,15.03,2.68,9.6,679,133.5352422907489,303.30396475770925,200.99118942731278,1.51,361,84.3,2.12,1576882,268.9,21.079295154185022,112.99559471365639,19.69713656387665,7.31,52.11,5.2,31.7,32.86,40,2.44,35.27,11.23,55.16956771592357,85,83,1.27,5.94,-0.815316738451807,0.028,49,106.58580391069894,15.467907453151508,63.48584100347644,63.96047301527125
Americas,Guyana,65.59,16.61,10,22.8,170,40.7503234152652,65.45924967658473,54.20439844760673,0.51,94,3.42,0.95,720459,263.7,77.20569210866752,326.3906856403622,30.310478654592497,37.9,48.81,5.8,24.63,35.71,72,0.08,3.65,2.85,94,97,92,19.77327489396163,7.32,3.3711460289023187,4.014049223810992,76.36753831958177,46.21132907727311,13.2,90.05032930620763,8
Americas,Haiti,62.61,16.47,4.97,20.7,489,67.09689315017978,171.32847792016224,129.52890200055316,0.69,188,3.98,2.04,7581135,243.5,51.15700193601918,268.8946252420024,33.410159491103535,9.82,591.31,2.8,18.27,37.14,49,1.33,23.79,8.73,26,64,75.96424956291646,3.9548347415455503,8.375155875920846,0.6649387295103448,1.205888333456703,56,86.86710431984969,8.6,71.6835283754218,60.293037097974384
Americas,Honduras,69.82,17.87,11.23,63.1,65,22.82453637660485,41.786458904861185,35.80599144079886,0.13,39,0.66,0.25,2752416,145.1,21.749149566553275,159.9253813233842,37.79216503895534,2,364.94,3.5,16.37,47.14,65,0.45,3.62,2.92,79.1317074799827,95,94,5.98,7.32,3.7698070673768918,4.903088122296596,83,48.17815613536626,20.933458285667996,79,53
Europe,Hungary,75.57,19.9,10.11,1.52,12,2.3685019993848044,4.41915308110325,3.6809186916846097,0.5197313045472848,8.7,-84.98961271371883,0.44,29,125.8,27.776068901876346,616.999897467446,65.05690556751769,18.72,1154.92,11.6,7.75,48.57,74,0.59,0.24,2.4061348553009934,99,99,98,32.31,66.43,6.24,7.54,85,24.8,31.4,99.7,72
Europe,Iceland,82.14,24.41,14.95,0.98,4,1.506024096385542,2.710843373493976,2.108433734939759,-1.1761074477927094,2.1,-57.35500384663429,0.88,0,55.01,9.234939759036145,207.5,45.21084337349397,12.97,19.7,8.7,6.62,54.29,84,0.27,0.1,0.6182154020324262,95,91,90,38.89,151.6,8.37,5,72,6.7,15,97.9,91
South-East Asia,India,69.31,18.49,3.39,3.89,150,45.38348899047026,75.20184326646634,60.53432675991243,1.5734903357044816,211,10.03,0.51,631095664,178,23.96397444136747,179.7739868944419,81.54256512187625,12.05,56119.75,5.5,15.33,42.86,55,0.27,18.58,0.28,76,88,79.11409692231611,7.59,36.51682610443935,1.49,5.6,98,10.7,28.8,89.02972627988846,44.91318502491718
South-East Asia,Indonesia,70.61,17.67,8.41,4.52,184,26.199950213507456,50.3578882867702,42.25341324703675,0.8710202907934725,322,4.49,1.07,101813236,175.6,45.51327958945292,245.3382609195182,39.0843115102541,2.39,12745.54,0.2,12.15,52.86,57,0.31,7.06,0.51,55,84,81.63737068422134,20.837374736719617,41.34410551372552,3.7327005323540092,4.695791709646887,99,36,38.1,92.6,52.439503144868056
Eastern Mediterranean,Iran (Islamic Republic of),76.66,21.56,22.94,3.28,16,18.188273104376098,28.90616241264621,25.039550556199163,0.06,15,0.1,0.02,14597,80.13,20.766844799880413,184.42517782179206,18.519625795682447,6.22,2787.42,1,20.65,32.86,72,1.04,0.98,0.03,98,99,87.98784450048605,27.707297165115786,59.252011652579085,5.196760787379285,6.708153297245217,81.30148640954495,33.6,14.6,92.6193354346972,64.93014176209222
Eastern Mediterranean,Iraq,70.29,19.24,1.68,15.8,78,49.96102464854985,83.5739053302153,70.19863989463215,0.2265740800526348,43,0,0.06,2170486,173.5,23.46584952826385,154.79396822836867,6.477972206542484,4.04,989.06,0.4,20.4,38.57,61,0.29,3.03,0.13,75,71,82.40753971287995,8.54,17.15,2.44,2.64,72.07353527015046,70,22.6,81.53513718534649,64.69133512378221
Europe,Ireland,81.14,23.66,19.36,0.79,6,3.216250528988574,5.099449851883199,4.3377063055438,-0.8041947615127836,7.2,-81.16449445372412,0.01,20,62.39,10.827338129496402,178.9039356749894,55.2475666525603,10.02,262.7,12.6,4.13,42.86,76,0.3,0.074,0.7870612857211099,94.70886129939822,95,91,32.32,117.1,6.28,11.47,88.28384159811564,7.4,24.6,99.7,75
Europe,Israel,81.93,24.31,11.74,1.51,3,4.21142578125,7.87353515625,6.38427734375,-0.8483953250575977,3.5,-62.98934152260816,0.48,241,57.98,29.28466796875,128.35693359375,31.726074218750004,5.2,372.51,3.9,4.25,44.29,82,0.048,0.25,0.9600223256492244,97,94,93,67.14,55.06,8.06,7.56,71,9,26,99.48186935268535,62.03336430690346
Europe,Italy,82.21,24.48,13.25,0.73,2,1.686017163048965,2.8032979976442873,2.3674911660777385,0.06,7.2,-103.67638960888628,0.61,214,53.53,36.69022379269729,372.3186942621572,69.21420158169275,6.57,5643.91,7.7,5.49,45.71,82,0.26,0.14,1.0691539185267573,82,94,88,79.01,58.36,8.01,11.55,90,4.8,23.6,99.9,53
Americas,Jamaica,75.85,21.36,12.68,51.39,80,18.049288441513365,25.26900381811871,21.69385629989587,0.62,4.4,18.204614601770025,0.16,347536,131.4,77.09128774730996,179.6251301631378,18.524817771607083,2.23,146.51,4,13.1,38.57,65,0.077,0.61,0.04,85,99,83.96270557302854,4.55,16.07,0.16,0.22,83,55.3,11.6,99.7,59.83620412855076
Western Pacific,Japan,83.62,25.86,23.21,0.25,5,0.6998097832468355,2.1338718894081365,1.535824155179297,-0.21808409085543956,16,-139.0378388572497,1.95,5,50.83,11.531205723723865,280.11491283689105,91.20932453483002,17.49,10735.69,9.9,4.09,57.14,83,0.2,0.17,0.7971589604798255,93,99,99,24.12,119.5,7.95,18.02,100,3.7,22.8,99.8,0
Eastern Mediterranean,Jordan,77.82,21.79,12.22,2.82,47,23.233925549915398,39.56218274111675,34.01015228426396,-1.117857733653928,5.4,-0.5611483868888527,1.01,126,110.5,20.442047377326567,87.54230118443317,6.142131979695431,1.48,199.96,0.6,24.14,44.29,76,0.4,0.63,2.78,99,98,89.65433704224637,28.086485886552097,61.70296119364424,7.03,15.34,78,27,18.208175647841514,91.83714423846736,70.72675823542367
Europe,Kazakhstan,71.91,18.59,9.48,6.26,10,11.057371581054035,23.826995774961084,21.253057593951524,0.17,73,0,0.21,185,181.5,14.882143651323105,339.0982877473872,48.526795641538804,21.74,1114.38,4.7,17.71,40,76,2.29,0.38,0.36,99,82,97,25.830013175543996,50.85676093121218,4.6285335286159315,5.6965830434094835,80.59276550896645,28.1,25.3,99.9,49.28873439503971
Africa,Kenya,64.17,17.32,7.96,5.91,346,67.58903883455078,144.17894432751433,103.77615451281417,1.31,348,64.48,0.86,11770703,219.3,11.69576162766704,62.19924889604226,12.640831992076265,5.43,1030.1,2,27.45,45.71,55,2.38,51.15,3.36,32,89,78,4.826798775734028,10.36,0.9204846149950359,1.6527225945178103,63.745094986817904,86.06841780369967,12.4,71.18691078279726,66.94841363886702
Western Pacific,Kiribati,58.2,13.47,6.47,5.13,94,66.66666666666667,156.140350877193,121.92982456140352,4.103457310771544,575,16.11635666412261,3.65,117424,197,136.66666666666669,318.0701754385965,69.74561403508773,29.51,8.576,2,4.44,24.29,41,2.66,16.66,9.95,79,81,79,9.811846679316831,9.652469231568233,0.71,0.27,69.6265079760578,66.04197355759106,53.5,84.52258820686505,22.087295440722052
Eastern Mediterranean,Kuwait,81.13,24.21,6.21,1.83,12,7.130520602023193,12.607944732297062,10.782136688872441,-1.204552542514584,24,-15.698455237933803,0.11,12,79.22,5.608191463113743,61.6580310880829,2.536392795460153,2.63,50.55,0,18.07,47.14,76,0.36,0.012,1.106384917605785,99,99,99,30.130424686724872,70.9,5.723426411153168,7.446137604908523,85,6.6,22.4,99.9,70.08253724201306
Europe,Kyrgyzstan,71.59,18.41,6.26,4.44,63,38.028878441907324,57.25319006044325,51.09133646742781,0.16,133,0,0.5,113625,162.3,6.358294157152451,255.82605775688378,20.869711215580924,8.62,261.09,6.2,15.08,40,70,1.09,0.78,2.91,98,96,83.71436785452964,23.000031571835652,47.06806158102581,4.197743258485608,5.340693351205453,78.09098821798418,38.1,28.2,89.90172382368112,56.673746160385456
Western Pacific,Lao People's Democratic Republic,67.08,17.5,3.63,6.94,196,58.62681266646938,125.8952352767091,99.09736608464043,0.14,175,8.05,1.94,2206011,192.8,30.1272565847884,167.090855282628,35.23231725362533,5.59,260.22,10.5,16.36,41.43,51,0.62,11.31,3.33,73.90031398517638,83,78,14.991677027862004,12.63,2.669873884183522,3.48576114518748,75,83.4,39.9,82.84196788145717,55.115747993514546
Europe,Latvia,74.8,20.35,9.4,5.97,26,2.4860476915271437,4.819888381532217,4.109589041095891,0.18,37,-88.88575979512514,0.51,20,153.8,29.249112125824453,855.8599695585997,22.48604769152714,21.27,269.44,11,9.32,50,71,1.37,0.021,3.0836845349927495,89,98,84,31.89,2.04,7.15,8.32,91,15.4,37.1,99.9,38
