"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58"
"11",439993.407353043,392407.763728031,340572.068134343,290246.653081312,241429.587157551,194059.470114557,152585.729840127,115623.554352867,74853.1678404055,34403.5882757095,0,27743.2744369322,38558.6278530267,86166.2993598812,132383.638799619,160253.985179738,153035.063768233,175331.624158743,203025.090198657,238989.54624965,273718.391665381,295812.497653542,305296.116283613,329035.419778794,369979.516977104,407195.976356515,422598.229703559,455220.42328179,499655.533169188,530873.601787834,566585.185532963,612494.975086776,657250.128810464,679995.932189908,725274.571909876,738387.892055165,781588.78273747,824974.208614533,866018.040023241,903740.592336994,942168.62860453,978582.279410799,1016912.00807915,1055057.57697784,1091035.823172,1131477.50309055,1173120.1830355,1209362.44107121,1245181.69610097,1281425.29198963,1314895.71001925,1356900.52949665,1401827.64261432,1447657.29552779,1486567.65278834,1518276.3026534,1551435.21002015,1587342.36587121
"12",465528.103998829,417682.387493711,365795.857342159,315247.248827081,265901.790230542,217486.610919424,173720.690136263,132745.082433478,85680.1939259958,36982.8372476173,27743.2744369322,0,14227.5960951427,58827.8431602538,105491.81108574,134697.864050033,126663.806815333,147878.623614952,175390.925790779,211302.397573669,245979.971200696,268197.608866152,278458.919733734,303001.30806987,344481.068185716,382402.380116103,398891.61657033,432447.367849157,477002.026621994,508376.832358612,544645.353053183,590561.60232421,635219.965854341,658713.879258349,703967.280361896,717809.720396358,761299.785338627,804811.297820007,846357.350089655,884740.016017712,923784.944474844,960847.157128054,999813.111216509,1038644.43755946,1075342.93462449,1116329.02681536,1158459.44242298,1195367.68877262,1231892.07009416,1268829.7684503,1302960.13329809,1345484.35194613,1390783.04051302,1436801.9451964,1476229.95902235,1508638.23510098,1542478.65565081,1579001.26844423
"13",478251.542031967,430540.893706246,378673.895339937,328223.309519849,279085.766450487,230990.306415851,187660.810026871,146962.324055407,99762.399787961,50946.8507702878,38558.6278530267,14227.5960951427,0,48310.3896839492,93930.887289443,121861.714036391,114476.629611071,137332.025206242,165423.221232042,201573.830548214,236731.069394128,260319.910620793,272682.721023276,298533.432364096,340692.086867819,379428.238275123,397069.194996856,431483.980050621,476102.170904551,507590.642406952,544317.593667576,590207.900696086,634757.254680547,658862.874713313,704073.658140401,718488.015381294,762181.318915554,805771.574103909,847676.040426212,886520.363672262,925981.500075662,963468.848062199,1002838.63882525,1042093.16162893,1079223.59322138,1120524.81786359,1162930.81603018,1200210.78056474,1237118.73246057,1274423.84779696,1308894.91884461,1351679.32981934,1397159.35911803,1443267.03195507,1482945.43183773,1515687.12653245,1549844.12564276,1586645.51252128
"14",523487.148183076,475441.671916622,423550.111070457,372860.817023734,323131.324520946,273912.128612986,228248.948963848,183996.778288371,133298.569154436,87182.3229659418,86166.2993598812,58827.8431602538,48310.3896839492,0,47002.7252101808,78588.4777023537,68915.135470366,89170.9403326525,117115.285051653,153266.629004976,188504.096799788,212896.03773983,227769.321092351,255667.810278722,298879.483229122,339047.318734216,359060.354176995,395291.934224196,439887.041607528,471538.936954357,509249.479053834,554958.777891628,599151.815607732,624685.570844969,669707.724258626,685523.196381669,729662.283766587,773388.919824737,816168.231543152,856193.861369508,896746.71345529,935384.838296125,975873.980033308,1016336.39199865,1054737.68466576,1096974.89358518,1140210.59644059,1178653.18094336,1216792.42437896,1255305.06863203,1290922.91617034,1334588.85619449,1380682.32981797,1427077.8769662,1467640.55513752,1501597.39427204,1536933.47122463,1574792.29086343
"15",570489.846461727,522437.683208348,470547.012212466,419849.585795842,370081.777454138,320739.258318562,274676.189624235,229668.159309956,178505.253427851,133733.600622629,132383.638799619,105491.81108574,93930.887289443,47002.7252101808,0,34817.9329655964,22637.3230518359,45003.0765830589,74205.7705654936,110392.422558516,146524.864880731,174665.917497938,196221.705752445,227893.056519446,272358.174676195,314459.455535245,337996.816283285,376510.341139812,420650.489337805,452284.19511241,491102.576676276,536292.214544334,579776.826253259,607124.197920473,651711.498373781,669303.813172967,713859.246080866,757621.042437929,801382.234803306,842766.586990053,884548.245031525,924474.422182851,966194.105224255,1007974.80957424,1047753.20831502,1090968.61560907,1135056.40053119,1174719.44835679,1214141.08851358,1253896.20134441,1290683.41430317,1335220.31487917,1381898.90918981,1428541.70336299,1469975.23528233,1505141.46223648,1541637.3788043,1580521.70960156
"16",600104.780768857,552343.343540758,500463.778041439,449941.179003418,400566.394132818,351831.719207778,306695.502900716,262567.426183616,211727.046243794,165670.619359706,160253.985179738,134697.864050033,121861.714036391,78588.4777023537,34817.9329655964,0,14219.8303476402,41577.0193314177,66343.562955968,98630.935245447,134524.197842785,167537.969469439,196537.466588912,231196.78313547,275972.719745385,319220.120944982,345495.766852791,385473.513641419,428900.757624532,460308.978268152,499783.040730439,544343.406425567,587082.839156036,615765.101163476,659867.026617894,678783.245643305,723535.818904585,767220.208812039,811628.508363452,853940.583522571,896543.909666243,937327.744487686,979851.740966769,1022487.25962629,1063150.37294433,1106970.65701322,1151575.58024915,1191993.80067113,1232199.39131245,1272701.50580112,1310181.99621835,1355218.21722898,1402220.41533784,1448985.39988365,1490913.4088441,1526768.00342486,1563912.02293383,1603357.9808303
"17",592105.285861522,544153.59878783,492259.630211107,441616.56041844,391977.100786598,342826.166308577,297026.645812362,252211.762965031,201093.645287313,155997.368653699,153035.063768233,126663.806815333,114476.629611071,68915.135470366,22637.3230518359,14219.8303476402,0,33577.9991348613,61528.0609079413,96208.3907992118,132541.392050235,163625.173692379,189835.500421041,223530.812262152,268295.512617929,311213.94586068,336603.570992733,376146.276293056,419836.459403606,451338.463359328,490621.660202846,535407.394323517,578409.492125244,606664.306734163,650938.164438672,669431.390154254,714132.302751134,757851.151687768,802062.520738089,844091.121025049,886447.52231333,926976.584815103,969265.639742635,1011655.00681249,1052067.48572379,1095720.49852175,1140184.61153454,1180398.40025532,1220395.82570658,1260703.88412474,1298008.10292053,1342920.5517497,1389844.28476737,1436580.90631081,1478389.84052154,1514081.64321285,1551076.72884912,1590397.31887519
"18",610386.219164893,562060.243164188,510238.228697127,459430.44948691,409294.052797707,359278.450397554,311918.748234454,265398.103567113,213988.865006099,172562.685776559,175331.624158743,147878.623614952,137332.025206242,89170.9403326525,45003.0765830589,41577.0193314177,33577.9991348613,0,29282.2538511071,65390.1332242608,101564.598765405,130835.471953073,156272.397875889,190199.367557496,234980.49470082,278048.693987014,303990.86811181,343903.679614712,387366.237893755,418794.447464374,458235.390756917,502840.175206206,545653.818869475,574230.412884334,618369.066182792,637216.335324084,681965.217214728,725652.596374088,770051.639650055,812376.340352629,855017.347940059,895868.204880189,938481.169594909,981240.434953806,1022064.72893604,1066013.27486811,1110740.12518429,1151361.87916574,1191808.61227413,1232569.62284478,1270317.33739317,1315560.16604141,1362701.48803104,1409516.69232507,1451677.47452705,1487885.03930079,1525389.98154648,1565171.80116217
"19",635408.888865233,586933.671585359,535208.876571801,484387.276374119,434083.953636897,383738.571306323,335713.899555767,288500.99988347,237313.007096991,198057.580018094,203025.090198657,175390.925790779,165423.221232042,117115.285051653,74205.7705654936,66343.562955968,61528.0609079413,29282.2538511071,0,36308.0359160595,72319.1719352553,102097.205880509,130471.812707764,165854.715355946,210527.836449928,254054.925185345,281559.988276354,322257.244660439,365097.442970147,396296.677913203,436052.931784217,480183.086651663,522493.165812712,551819.673719264,595613.201851391,615239.318931103,660060.030803072,703655.914463382,748417.998341448,791300.844184844,834450.285181971,875853.910521101,919000.044644391,962347.891316813,1003806.24660761,1048190.36197198,1093294.27596235,1134499.19048316,1175572.5752391,1216949.25770203,1255286.71074536,1300954.9983421,1348367.66477839,1395271.27584112,1437875.73634552,1474730.00419249,1512861.73863762,1553199.54330102
"20",669301.395216232,620727.880524226,569111.934033003,518314.109008891,467921.460246991,417372.88777885,368900.078374514,321253.591308018,270414.652238553,232808.045008922,238989.54624965,211302.397573669,201573.830548214,153266.629004976,110392.422558516,98630.935245447,96208.3907992118,65390.1332242608,36308.0359160595,0,36357.4942121936,69615.2435318151,105345.796084106,142763.578080352,186383.670379821,230233.421460442,260183.029248153,301835.893792656,343391.019244575,374064.128535222,414162.796414247,457388.062433268,498780.243445101,529229.041674682,572389.69843616,593193.037643958,638045.611260114,681434.45853876,726689.205873986,770359.644241413,814216.163456371,856389.294992726,900269.141987937,944425.789888484,986753.914640266,1031718.30979197,1077318.03544972,1119309.23732778,1161224.81398247,1203423.28243359,1242544.4574053,1288764.42017372,1336517.67545596,1383515.01122944,1426696.86585451,1464402.23555818,1503353.3996253,1544411.70120644
"21",700511.063296746,651838.533126903,600411.202457214,549693.635048917,499241.356864951,448505.480629048,399573.053304714,351545.215739575,301299.528341652,265793.690559548,273718.391665381,245979.971200696,236731.069394128,188504.096799788,146524.864880731,134524.197842785,132541.392050235,101564.598765405,72319.1719352553,36357.4942121936,0,38143.6096172827,81896.3766057998,119702.032706367,160805.530604949,204252.696671838,236329.804084274,278505.937512683,318470.101986278,348455.936411873,388691.063996264,430903.82060261,471330.519292046,502730.706704733,545219.966836183,567051.599229279,611850.130863589,654982.798487774,700617.502415384,744941.779399552,789385.031881948,832208.713632547,876709.814680999,921560.9482944,964646.302052252,1010104.08240392,1056122.38390059,1098806.48682909,1141470.99538527,1184403.50736077,1224229.30722962,1270935.24901629,1318978.14243114,1366035.96970011,1409736.12020782,1448223.108113,1487928.98052891,1529650.41347845
"22",713319.25282764,664567.284460419,613617.630468757,563197.255645737,512810.251835775,461949.928576893,412469.090423647,364128.501503149,315351.247718568,284073.9073173,295812.497653542,268197.608866152,260319.910620793,212896.03773983,174665.917497938,167537.969469439,163625.173692379,130835.471953073,102097.205880509,69615.2435318151,38143.6096172827,0,46849.4965453185,83526.8181866575,123145.553697981,166375.13242151,198946.57512565,241194.923450634,280679.538353316,310513.933162803,350753.699612529,392822.617981015,433189.643248127,464638.709501608,507084.631214663,528986.112453286,573775.005896986,616882.559633399,662547.579537604,706944.31492568,751470.62933965,794406.109400367,839031.073965493,884040.351343247,927320.613959097,972914.069930055,1019052.98080228,1061955.1785476,1104873.7031342,1148071.99890442,1188168.31250162,1235065.54679593,1283221.94978484,1330297.47351071,1374214.96019052,1413047.78632654,1453102.14307018,1495140.30327132
"23",706578.110386732,657923.461658531,607831.118629527,558078.455214786,508115.321380429,457512.171658006,407831.737651844,359720.785229234,313664.790925557,288611.600443258,305296.116283613,278458.919733734,272682.721023276,227769.321092351,196221.705752445,196537.466588912,189835.500421041,156272.397875889,130471.812707764,105345.796084106,81896.3766057998,46849.4965453185,0,37948.7091881787,81051.5059867329,124899.999767107,155295.639308123,197262.464976298,238214.284453439,268764.38769202,308896.895174647,352042.537240915,393531.789380496,423883.35114236,467079.961619037,487867.493464023,532718.522513225,576093.1559133,621380.366069386,665169.672124527,709196.529014537,751621.271385329,795799.125197597,840349.383702113,883174.15747136,928499.342172805,974426.216292896,1016996.69280652,1059591.9241015,1102507.75238332,1142362.7756577,1189112.83799327,1237190.1400333,1284254.28063879,1328036.14664946,1366687.43611458,1406595.58308627,1448528.185911
"24",716431.367154621,668010.953207669,618776.905317811,569758.508516941,520378.870269418,470287.281785237,420838.008332001,373366.528109949,329871.015175654,309435.218651603,329035.419778794,303001.30806987,298533.432364096,255667.810278722,227893.056519446,231196.78313547,223530.812262152,190199.367557496,165854.715355946,142763.578080352,119702.032706367,83526.8181866575,37948.7091881787,0,44783.9074960448,88209.1608148844,117485.579985726,159361.747228675,200629.805869801,231381.696696325,271434.294849436,314922.02079777,356820.89246156,386712.720097065,430163.421840249,450536.775887382,495390.526390133,538838.397299287,583990.748157848,627596.158974199,671493.999392114,713811.373135237,757917.349623261,802419.109389745,845225.484619167,890556.363597692,936498.047294144,979112.581495553,1021781.02061566,1064792.56013999,1104760.50034123,1151598.09084523,1199729.75710063,1246802.3681158,1290693.2138551,1329529.18292153,1369635.03914692,1411755.6096353
